Date,Product_Type,Revenue,Quantity
2023-09-24,Smartphone,124.5,6
2023-09-24,Smartwatch,5068.98,6
2023-09-24,Laptop,463.96,1
2023-09-24,Smartphone,186.75,9
2023-09-24,Tablet,1729.21,7
2023-09-24,Smartwatch,2534.49,3
2023-09-24,Smartphone,1582.38,2
2023-09-24,Smartphone,3164.76,4
2023-09-24,Smartwatch,2534.49,3
2023-09-24,Smartphone,3164.76,4
2023-09-24,Smartwatch,3379.32,4
2023-09-24,Smartwatch,844.83,1
2023-09-24,Tablet,494.06,2
2023-09-24,Smartphone,83.0,4
2023-09-24,Laptop,3247.72,7
2023-09-24,Tablet,247.03,1
2023-09-24,Tablet,2470.3,10
2023-09-24,Tablet,1235.15,5
2023-09-24,Smartphone,20.75,1
2023-09-24,Tablet,1976.24,8
2023-09-24,Smartphone,41.5,2
2023-09-24,Smartphone,62.25,3
2023-09-24,Tablet,1235.15,5
2023-09-24,Smartphone,145.25,7
2023-09-25,Tablet,1235.15,5
2023-09-25,Tablet,1729.21,7
2023-09-25,Tablet,1729.21,7
2023-09-25,Smartphone,1582.38,2
2023-09-25,Tablet,1235.15,5
2023-09-25,Smartwatch,8448.3,10
2023-09-25,Smartphone,4747.14,6
2023-09-25,Tablet,1482.18,6
2023-09-25,Tablet,494.06,2
2023-09-25,Smartphone,145.25,7
2023-09-25,Laptop,463.96,1
2023-09-25,Laptop,2783.76,6
2023-09-25,Smartphone,62.25,3
2023-09-25,Tablet,494.06,2
2023-09-25,Smartwatch,3379.32,4
2023-09-25,Tablet,1976.24,8
2023-09-26,Tablet,2223.27,9
2023-09-26,Laptop,2783.76,6
2023-09-26,Tablet,1235.15,5
2023-09-26,Smartphone,41.5,2
2023-09-26,Tablet,1235.15,5
2023-09-26,Laptop,2783.76,6
2023-09-26,Smartphone,62.25,3
2023-09-26,Tablet,1482.18,6
2023-09-26,Tablet,494.06,2
2023-09-26,Laptop,4639.6,10
2023-09-26,Laptop,3247.72,7
2023-09-26,Smartwatch,3379.32,4
2023-09-26,Smartphone,83.0,4
2023-09-26,Laptop,1391.88,3
2023-09-26,Smartwatch,1689.66,2
2023-09-26,Smartwatch,844.83,1
2023-09-26,Smartwatch,3379.32,4
2023-09-27,Tablet,494.06,2
2023-09-27,Tablet,1976.24,8
2023-09-27,Laptop,927.92,2
2023-09-27,Laptop,1391.88,3
2023-09-27,Smartwatch,844.83,1
2023-09-27,Laptop,2319.8,5
2023-09-27,Smartphone,791.19,1
2023-09-27,Smartphone,4747.14,6
2023-09-27,Smartwatch,7603.47,9
2023-09-27,Smartphone,207.5,10
2023-09-27,Tablet,1729.21,7
2023-09-27,Tablet,741.09,3
2023-09-27,Tablet,2470.3,10
2023-09-27,Tablet,2223.27,9
2023-09-27,Tablet,2223.27,9
2023-09-27,Tablet,1976.24,8
2023-09-27,Laptop,1391.88,3
2023-09-27,Smartphone,7911.9,10
2023-09-28,Smartwatch,7603.47,9
2023-09-28,Laptop,1855.84,4
2023-09-28,Smartphone,7120.71,9
2023-09-28,Smartwatch,7603.47,9
2023-09-28,Laptop,2319.8,5
2023-09-28,Tablet,247.03,1
2023-09-28,Smartwatch,8448.3,10
2023-09-28,Laptop,3247.72,7
2023-09-28,Smartwatch,5068.98,6
2023-09-28,Smartwatch,4224.15,5
2023-09-28,Laptop,4175.64,9
2023-09-28,Tablet,1482.18,6
2023-09-28,Tablet,1729.21,7
2023-09-29,Smartphone,145.25,7
2023-09-29,Tablet,741.09,3
2023-09-29,Smartphone,3164.76,4
2023-09-29,Laptop,2783.76,6
2023-09-29,Tablet,741.09,3
2023-09-29,Tablet,1729.21,7
2023-09-29,Smartphone,791.19,1
2023-09-29,Smartwatch,8448.3,10
2023-09-29,Smartphone,1582.38,2
2023-09-29,Smartphone,166.0,8
2023-09-29,Smartphone,83.0,4
2023-09-29,Tablet,1729.21,7
2023-09-30,Smartphone,124.5,6
2023-09-30,Laptop,2783.76,6
2023-09-30,Smartwatch,5068.98,6
2023-09-30,Smartphone,7120.71,9
2023-09-30,Tablet,247.03,1
2023-09-30,Laptop,2319.8,5
2023-09-30,Tablet,1482.18,6
2023-09-30,Laptop,2783.76,6
2023-09-30,Smartphone,1582.38,2
2023-09-30,Smartphone,3955.95,5
2023-09-30,Laptop,463.96,1
2023-09-30,Tablet,988.12,4
2023-09-30,Tablet,741.09,3
2023-09-30,Tablet,1482.18,6
2023-09-30,Laptop,3711.68,8
2023-09-30,Tablet,494.06,2
2023-09-30,Laptop,3247.72,7
2023-09-30,Smartphone,1582.38,2
2023-09-30,Smartphone,7120.71,9
2023-09-30,Smartwatch,6758.64,8
2023-09-30,Smartwatch,2534.49,3
2023-09-30,Smartwatch,6758.64,8
2023-09-30,Smartphone,83.0,4
2023-09-30,Tablet,1976.24,8
2023-10-01,Laptop,4639.6,10
2023-10-01,Tablet,741.09,3
2023-10-01,Smartwatch,3379.32,4
2023-10-01,Laptop,3247.72,7
2023-10-01,Laptop,463.96,1
2023-10-01,Smartphone,5538.33,7
2023-10-01,Tablet,2470.3,10
2023-10-01,Smartphone,124.5,6
2023-10-01,Smartphone,207.5,10
2023-10-01,Smartwatch,844.83,1
2023-10-01,Laptop,4175.64,9
2023-10-01,Smartwatch,3379.32,4
2023-10-01,Laptop,4639.6,10
2023-10-01,Smartphone,207.5,10
2023-10-01,Smartwatch,8448.3,10
2023-10-01,Laptop,3247.72,7
2023-10-01,Smartwatch,2534.49,3
2023-10-01,Smartwatch,5913.81,7
2023-10-01,Tablet,494.06,2
2023-10-01,Laptop,3711.68,8
2023-10-01,Smartphone,20.75,1
2023-10-01,Laptop,1391.88,3
2023-10-01,Smartphone,7120.71,9
2023-10-01,Laptop,3247.72,7
2023-10-01,Smartphone,7120.71,9
2023-10-02,Smartphone,7120.71,9
2023-10-02,Tablet,741.09,3
2023-10-02,Smartphone,3164.76,4
2023-10-02,Tablet,1482.18,6
2023-10-02,Tablet,247.03,1
2023-10-02,Smartwatch,4224.15,5
2023-10-02,Smartwatch,4224.15,5
2023-10-02,Smartphone,145.25,7
2023-10-02,Laptop,2783.76,6
2023-10-02,Smartwatch,5913.81,7
2023-10-02,Smartphone,2373.57,3
2023-10-02,Laptop,2783.76,6
2023-10-02,Laptop,4639.6,10
2023-10-02,Smartwatch,5068.98,6
2023-10-02,Smartphone,5538.33,7
2023-10-02,Smartphone,1582.38,2
2023-10-03,Tablet,494.06,2
2023-10-03,Laptop,4639.6,10
2023-10-03,Smartphone,3164.76,4
2023-10-03,Smartwatch,4224.15,5
2023-10-03,Smartphone,4747.14,6
2023-10-03,Smartphone,791.19,1
2023-10-03,Smartwatch,6758.64,8
2023-10-03,Smartwatch,6758.64,8
2023-10-03,Laptop,4175.64,9
2023-10-03,Smartphone,7120.71,9
2023-10-03,Laptop,3711.68,8
2023-10-03,Tablet,494.06,2
2023-10-03,Tablet,1976.24,8
